Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Mean (Mean Risk),Mean (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev)
0.6,0.3100892869860268,0.06141196241937984,0.3100892869860268,0.06141196241937984,0.34162523653844606,0.03033432239101248,0.3421790902542459,0.019617725729754055,0.35037820297971844,0.020370572321092514,0.3393273064576778,0.01575273240557066,0.34162523653844606,0.03033432239101248,0.34162523653844606,0.03033432239101248,0.34162523653844606,0.03033432239101248,0.2588537357492182,0.0527021577233268,0.323803252741434,0.04129338311246358,0.34162523653844606,0.03033432239101248,0.34162523653844606,0.03033432239101248
0.65,0.3021869539139902,0.053736153227739544,0.3021869539139902,0.053736153227739544,0.33296866890370314,0.02181494112426848,0.32813796472317364,0.017167243461457628,0.3396233350543614,0.014252340811712916,0.33110741320342385,0.010861109553645505,0.33296866890370314,0.02181494112426848,0.33296866890370314,0.02181494112426848,0.33296866890370314,0.02181494112426848,0.25529380227116155,0.053333761173664125,0.31394740488443384,0.03559418695844549,0.33296866890370314,0.02181494112426848,0.33296866890370314,0.02181494112426848
0.7,0.2956119601029656,0.05430613104139164,0.2956119601029656,0.05430613104139164,0.3275552992948739,0.032307844975799624,0.32147419963849566,0.01589703350126221,0.3384360229293326,0.014341459384781364,0.32878524005050935,0.010987444560932839,0.3275552992948739,0.032307844975799624,0.3275552992948739,0.032307844975799624,0.3275552992948739,0.032307844975799624,0.25510909772045554,0.04894198793152105,0.3158759911779129,0.025501143119430508,0.3275552992948739,0.032307844975799624,0.3275552992948739,0.032307844975799624
0.75,0.3030219508246614,0.04268022532418395,0.3030219508246614,0.04268022532418395,0.32499924733350893,0.030604443997924603,0.32051012146311325,0.017712697315441624,0.33196192990806783,0.011600358511783345,0.31967704285898024,0.005481229078062025,0.32499924733350893,0.030604443997924603,0.32499924733350893,0.030604443997924603,0.32499924733350893,0.030604443997924603,0.2568660076218462,0.04233156798822207,0.3162243979748401,0.034519003822890804,0.32499924733350893,0.030604443997924603,0.32499924733350893,0.030604443997924603
0.8,0.3202704217825846,0.03228650289632907,0.3202704217825846,0.03228650289632907,0.3271011581538384,0.03526699770422956,0.3255129622823908,0.017802979710784764,0.3233759763847793,0.008868813219268887,0.32212030658175506,0.015520996057960618,0.3271011581538384,0.03526699770422956,0.3271011581538384,0.03526699770422956,0.3271011581538384,0.03526699770422956,0.2694748235971451,0.021707565571714785,0.30764469201220546,0.03256917556812357,0.3271011581538384,0.03526699770422956,0.3271011581538384,0.03526699770422956
0.85,0.3180190489015976,0.029891749533138515,0.3180190489015976,0.029891749533138515,0.3301054332960609,0.028247816290024038,0.31599598266689755,0.01927692731375494,0.3217629811290134,0.012531814822134927,0.3207663745732124,0.020779820928952437,0.3301054332960609,0.028247816290024038,0.3301054332960609,0.028247816290024038,0.3301054332960609,0.028247816290024038,0.2753813987880639,0.025629780065476157,0.3169737115523764,0.025765498416576098,0.3301054332960609,0.028247816290024038,0.3301054332960609,0.028247816290024038
0.9,0.3261906267327221,0.021725991308821548,0.3261906267327221,0.021725991308821548,0.3261906267327221,0.02172599130882158,0.3209249957035286,0.016459411005317556,0.318036646588641,0.01487125312486164,0.3182732448365527,0.013486998708392364,0.3261906267327221,0.02172599130882158,0.3261906267327221,0.02172599130882158,0.3261906267327221,0.02172599130882158,0.2869027612639127,0.02351865604831474,0.3184554028204035,0.018701050314599992,0.3261906267327221,0.02172599130882158,0.3261906267327221,0.02172599130882158
0.95,0.3196952119028047,0.01622422601988656,0.3196952119028047,0.01622422601988656,0.32448692090503994,0.013597210816087448,0.320141657149275,0.010497440036808236,0.3200057984470972,0.010170592287032734,0.3167181940287182,0.008848683110514198,0.32448692090503994,0.013597210816087448,0.32448692090503994,0.013597210816087448,0.32448692090503994,0.013597210816087448,0.30178574911750145,0.0250230460418711,0.3150862642173625,0.02114868818053892,0.3237429821989189,0.012495596209810887,0.32448692090503994,0.013597210816087448
1.0,0.3133979327341707,0.012040256733615797,0.3133979327341707,0.012040256733615797,0.3133979327341707,0.012040256733615815,0.3133979327341706,0.012040256733615785,0.31339793273417066,0.012040256733615818,0.3133979327341706,0.012040256733615822,0.3133979327341707,0.012040256733615815,0.3133979327341707,0.012040256733615815,0.3133979327341707,0.012040256733615815,0.3133979327341706,0.012040256733615778,0.3133979327341707,0.012040256733615794,0.3133979327341707,0.012040256733615815,0.3133979327341707,0.012040256733615815
0.0,0.8212932434689719,0.30621742136631525,0.8212932434689719,0.30621742136631525,0.8502608773123939,0.25604400777445674,0.8633386074846687,0.2333927146684001,0.8561705123036518,0.2458082197154112,0.8561705123036518,0.2458082197154112,0.8502608773123939,0.25604400777445674,0.8502608773123939,0.25604400777445674,0.8502608773123939,0.25604400777445674,0.8175314900290687,0.3127329694497747,0.8502608773123939,0.25604400777445674,0.8502608773123939,0.25604400777445674,0.8502608773123939,0.25604400777445674
