uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
0326_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.01260929270038278,0.5242739148983141,0.6172299562616551,0.0,0.0,0.0,0.01260929270038278,0.025218585400765565,0.0420241358020894,0.12596990860228896,0.5457615981230864,0.3125446087533597,0.12868288642177375,0.03227242526811162,0.008069947328244982,0.005164766290076789,0.3239874364920291,0.3239874364920291
0339_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.008298012081998525,0.5347219414181179,0.6265722266558943,0.0,0.0,0.0,0.008298012081998525,0.01659602416399705,0.02765553904627011,0.08289913778612704,0.28154215336603633,0.1638907061820436,0.08484396826729634,0.021242902629332233,0.005310727732479057,0.003398865748786598,0.14668595560178738,0.14668595560178738
0379_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.004038592819121075,0.5339985308439835,0.6318676153818766,0.0,0.0,0.0,0.004038592819121075,0.00807718563824215,0.01345978534346617,0.04034652595331187,0.2644995285138007,0.15529923996368722,0.04058132802323626,0.010249675785335987,0.0025846994042374887,0.001654207618711993,0.12371822367449495,0.12371822367449495
0381_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.011089071825407935,0.5280167370561569,0.6200215429873079,0.0,0.0,0.0,0.011089071825407935,0.02217814365081587,0.03695755752389821,0.11078253173576555,0.3094146414530567,0.19415061782318843,0.11353996581326899,0.028388023832437752,0.007097005968261081,0.004542083819687091,0.16775027377152205,0.16775027377152205
0408_03,lidc_fgbg_malignancy_1_00_dropout_pu,0.010422145538005495,0.5251519741520049,0.6361556781662835,0.0,0.0,0.0,0.010422145538005495,0.02084429107601099,0.03473483167100937,0.10411977590610426,0.3244480850031743,0.22770005323171064,0.1060092876536249,0.026680692319444765,0.006670173144323518,0.004268910812367053,0.19334814077613094,0.19334814077613094
0411_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.00538039564555847,0.5899123644828796,0.639219155437068,0.0,0.0,0.0,0.00538039564555847,0.010760791291116938,0.017931733575433272,0.053751464789891484,0.17982148429088782,0.12717000073659276,0.05509518284598213,0.013773811478100544,0.0034434532131574214,0.0022038100564207505,0.12138401397534997,0.12138401397534997
0419_06,lidc_fgbg_malignancy_1_00_dropout_pu,0.0031018262148848775,0.5017988847361671,0.665527982371194,0.0,0.0,0.0,0.0031018262148848775,0.006203652429769756,0.010337738141715588,0.030988000429210332,0.1812445762916468,0.0981648878697088,0.031049589515387423,0.007851553263928019,0.0019851687775263222,0.0012705080176168464,0.10930449659603134,0.10930449659603134
0455_07,lidc_fgbg_malignancy_1_00_dropout_pu,0.003973288126954407,0.5300335571879432,0.6382541010777155,0.0,0.0,0.0,0.003973288126954407,0.007946576253908813,0.013242138460541293,0.039694117461474145,0.22314562666643825,0.15076175923463267,0.04068621045789745,0.010171617170678016,0.0025429044012508207,0.0016274588168005255,0.13281310095236404,0.13281310095236404
0469_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.019298614312140257,0.522498724807022,0.6205314486774046,0.0,0.0,0.0,0.019298614312140257,0.03859722862428051,0.06431824590929738,0.19279286291419384,0.434241673204957,0.2958350981496914,0.1965027635351942,0.04940402434510589,0.012351113159769762,0.00790471242225265,0.27183542069409355,0.27183542069409355
0495_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.0062252771830737085,0.4914769766961827,0.6473499735196432,0.0,0.0,0.0,0.0062252771830737085,0.01245055436614742,0.020747547064174057,0.062192037302082843,0.19360759805617783,0.12691925654262032,0.06374604836629609,0.015936709583754993,0.003984177397167174,0.0025498735341869926,0.11807048190204054,0.11807048190204054
0495_02,lidc_fgbg_malignancy_1_00_dropout_pu,0.013831416543783868,0.5149935500722536,0.6273832369495083,0.0,0.0,0.0,0.013831416543783868,0.027662833087567736,0.046097219010039645,0.13817028433564346,0.2283462204145101,0.18568798791589866,0.134573950710461,0.035408422386830556,0.008852106588021675,0.005665348216333874,0.13551552792830102,0.13551552792830102
0495_06,lidc_fgbg_malignancy_1_00_dropout_pu,0.007836309905645667,0.5193804123184897,0.6176001681731298,0.0,0.0,0.0,0.007836309905645667,0.015672619811291335,0.026116782240459435,0.07828664725062362,0.2838927401515009,0.18066146199907768,0.07988683438980053,0.020060847369085925,0.005015238339613227,0.003209752537352467,0.15508570281609188,0.15508570281609188
0503_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.008808991338972333,0.5353414405275274,0.6107915622847421,0.0,0.0,0.0,0.008808991338972333,0.017617982677944663,0.029358526057307304,0.08800397159926789,0.4705131751471672,0.28486800849777866,0.08984407041668091,0.02255085714977058,0.005637754456942293,0.003608162852443069,0.20689175241154706,0.20689175241154706
0521_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.011534851092982253,0.5037985774688423,0.6161223035305738,0.0,0.0,0.0,0.011534851092982253,0.023069702185964505,0.03844324660443882,0.11523472088913145,0.2169621413383909,0.18987403522763516,0.11702594931001688,0.0295287229451726,0.007382304699508643,0.004724675007685534,0.12560308165289408,0.12560308165289408
0568_01,lidc_fgbg_malignancy_1_00_dropout_pu,0.006189654885577428,0.5680804504081607,0.6425759820711046,0.0,0.0,0.0,0.006189654885577428,0.012379309771154859,0.020628825395708008,0.061836161819596204,0.2767472240039044,0.16030013884349043,0.06266679612140699,0.01584551537451897,0.003961379126769555,0.0025352826411325162,0.12598367993391044,0.12598367993391044
0611_00,lidc_fgbg_malignancy_1_00_dropout_pu,0.012188368145569704,0.4684654235218962,0.6175599528683556,0.0,0.0,0.0,0.012188368145569704,0.024376736291139407,0.04062128228173597,0.12176477054075835,0.5070845257294806,0.389748422561679,0.12445174862082614,0.031202188251071346,0.007800555613164612,0.004992355592425352,0.3962005252619029,0.3962005252619029
