uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
frankfurt_000000_004617,cityscapes_dropout_pu,0.25521633410861605,0.4458033445587434,0.5977730123238884,0.7388412887642617,0.0,0.0,0.30700339403533367,0.34531503161913824,0.4199079977965648,0.5617173818404959,0.3196293477268129,0.7879049021891952,0.6629389256137692,0.49700797004790054,0.40253447240365126,0.37370594444331273,0.2995625131359758,0.3891015482036849,0.2668544151061233
frankfurt_000000_005543,cityscapes_dropout_pu,0.2361323296788547,0.45185803181915646,0.6250741767471873,0.7835870477788088,0.9113790072050834,0.0,0.29762683671863516,0.33269091871072004,0.40417336871175336,0.5630066283860579,0.30045647733674,0.8802673907071287,0.7089472648472059,0.4843791120762716,0.36635830483964926,0.3197923464449835,0.2802254076780801,0.30286660571858076,0.24500212187984582
frankfurt_000000_005898,cityscapes_dropout_pu,0.2794484111719078,0.43255555816070934,0.6376835723774962,0.7699573698944158,0.9084364372208771,0.0,0.3170375025680482,0.35571160894199777,0.424032021696134,0.57797972905865,0.33215668539249965,0.8502807028197226,0.7175709753080592,0.565867323801021,0.4123434622565052,0.3706884288683767,0.29041183023843586,0.4213663597120416,0.31427127240265623
frankfurt_000000_006589,cityscapes_dropout_pu,0.22610466908045057,0.4332859572350755,0.5717398137626768,0.7334039658867916,0.0,0.0,0.28063852307586595,0.30888098425511507,0.36878097699448803,0.5026563624710386,0.29088639547675404,0.7053425318920249,0.6307837913667567,0.4585606641743039,0.3330130142573001,0.3027883548279527,0.2642549783091089,0.3299046800661287,0.23034760523540532
frankfurt_000000_007365,cityscapes_dropout_pu,0.24450492681450864,0.4303416368360949,0.6174488497138262,0.7632701573453751,0.0,0.0,0.31500701423189287,0.35370786246767216,0.42151839402610686,0.5444912522643113,0.3180865645804654,0.8326682337327944,0.7255831525657094,0.5176391975557442,0.4298428002374654,0.4064801459341472,0.32013382020438647,0.24601470255725266,0.23312324774222687
frankfurt_000000_008206,cityscapes_dropout_pu,0.2749182959441938,0.4925314169136185,0.6241891575662432,0.7456804547290308,0.0,0.0,0.3329126209760292,0.38007591170543364,0.4754825018721642,0.6459740532464968,0.3594493896879261,0.8050312621824852,0.728073728909742,0.637314410203073,0.5282753823779401,0.47273713443111753,0.3230287372483389,0.4552359051436879,0.30321733227011327
frankfurt_000000_008451,cityscapes_dropout_pu,0.2566193041743887,0.4609946820819885,0.6463418587584884,0.7748033674946149,0.9151547608423543,0.0,0.3197324260127965,0.3602190711266336,0.4365752351091775,0.6124470472365113,0.34166657966361164,0.8762336147315538,0.8148959489762297,0.6213926887330813,0.496574179776079,0.4282859467096643,0.3133685153767265,0.5252826065116105,0.2632415429454099
frankfurt_000000_009291,cityscapes_dropout_pu,0.23820899787338498,0.45135406880227746,0.594310966626277,0.7426532251433375,0.0,0.0,0.306742129870368,0.34327601399463714,0.4138044011619481,0.5692375658220186,0.3301561660454441,0.7152057932061308,0.6396881904529016,0.467318591945424,0.3542475324936345,0.32246638571445113,0.28821251058747116,0.3923934060194882,0.2360053957402849
frankfurt_000000_009561,cityscapes_dropout_pu,0.21325958853268445,0.4663732034317819,0.6135568670816336,0.7551285769416505,0.0,0.0,0.2898691257573429,0.3225265713741581,0.3930449304221731,0.5668751228513774,0.30714366377564145,0.7975967518507894,0.681102051549182,0.5307183961100631,0.41579932917881246,0.3631451110926276,0.29357072530648054,0.3890526406325095,0.20573707663649624
frankfurt_000000_009688,cityscapes_dropout_pu,0.1944211848707293,0.4592843121052673,0.5825812431592898,0.7387321936648871,0.0,0.0,0.27359260338522084,0.3060947082906636,0.3677186243778822,0.5303622051910686,0.2835276443377887,0.7387557517441716,0.6273560386340441,0.5790743541830993,0.4709688527448898,0.4085250358846348,0.2713610006554815,0.3429313585309367,0.17628090227622453
