uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
302,arctique_semantic_blood_cells_0_00_dropout_pu,0.12919249152559553,0.358046282298834,0.5320440659065054,0.0,0.0,0.0,0.1751565821405418,0.20927495903643284,0.2510959933622776,0.3203981350729752,0.4124546287276117,0.2963889788892399,0.2223843524623659,0.1900460154182241,0.1868511583301688,0.16712065095704995,0.24440535547789194,0.18048703247287257
226,arctique_semantic_blood_cells_0_00_dropout_pu,0.10792256896959931,0.35832713945991973,0.5383189216148253,0.0,0.0,0.0,0.14898618381682602,0.18938702209208425,0.23634558639610684,0.31117100562722166,0.4379547821010141,0.2873717710666393,0.22642401928894804,0.19084329057551408,0.18713558495952073,0.16571516872982603,0.24190056026777373,0.1773623660334874
233,arctique_semantic_blood_cells_0_00_dropout_pu,0.1096809882896021,0.36603200782203504,0.5527224576554758,0.700492208711401,0.0,0.0,0.14857187498711955,0.18359154020050197,0.22836724937687355,0.30468230560654735,0.46910423492365333,0.3277740817607352,0.20465888295463777,0.17583120234729552,0.1729891834922752,0.14660462258962065,0.2002736742718399,0.1599930341404599
202,arctique_semantic_blood_cells_0_00_dropout_pu,0.11955432150306897,0.35715578056114716,0.5331074141217147,0.0,0.0,0.0,0.1623548306906583,0.1957615246784165,0.2352280197497054,0.30108672486799454,0.3834561745753834,0.2872692319086482,0.22094550766648013,0.18345222354773255,0.17518041328102193,0.1628136038666753,0.19525600196057125,0.15713727357522045
306,arctique_semantic_blood_cells_0_00_dropout_pu,0.13297969003431453,0.3627042979359633,0.5378135601228861,0.0,0.0,0.0,0.17833280885476382,0.21093039461192292,0.2514849614487018,0.32341611383796437,0.42807853772408966,0.32491656322983414,0.2340055611954569,0.19131505652443026,0.18308623573770386,0.1691939863214443,0.22459163857006972,0.18255211175013253
219,arctique_semantic_blood_cells_0_00_dropout_pu,0.11387694669317261,0.3476383875605187,0.5365982329541927,0.0,0.0,0.0,0.15309339275432357,0.18422447495547317,0.22418797227023787,0.2874429888668689,0.42536061405354025,0.2796205976919406,0.19433974249685726,0.15877983479622576,0.15106879348027075,0.14191449593272876,0.19963194795838943,0.1434834586594723
261,arctique_semantic_blood_cells_0_00_dropout_pu,0.1144402660828466,0.3599650272960325,0.5459122031708096,0.0,0.0,0.0,0.15415653601679896,0.18808629020675796,0.2296827352490212,0.30079744363456695,0.42161087329383795,0.2954420105792984,0.20803090100374436,0.18898712822130448,0.1797528231228393,0.16178971141344614,0.21483754150808432,0.163608378497571
213,arctique_semantic_blood_cells_0_00_dropout_pu,0.15258360586616984,0.3587250369541691,0.5302273541401389,0.0,0.0,0.0,0.19373932823231693,0.22246501792231932,0.26171721903569123,0.33217071730275954,0.3918600094088996,0.2767359661643629,0.22663717592735377,0.1815094694982976,0.17303557429058994,0.16036454719048593,0.20934231615615623,0.17340697994323795
215,arctique_semantic_blood_cells_0_00_dropout_pu,0.12358374861886047,0.3581112864010727,0.5354123366716327,0.0,0.0,0.0,0.16435254254055803,0.19429592753109975,0.2349028029222715,0.30502340998100486,0.4051248602621839,0.2976295728082319,0.19980616419986627,0.18154269792443592,0.17924399320453327,0.1629542058688526,0.19517316668168938,0.16480761080899972
206,arctique_semantic_blood_cells_0_00_dropout_pu,0.14428454948449146,0.3652469975178176,0.5405130691741646,0.7107602779573563,0.0,0.0,0.19764488070148306,0.23634052539528067,0.2825428032906151,0.3594633658763937,0.4763936428935443,0.3676683944624211,0.2670711415839556,0.22841027609793169,0.21469792928407336,0.1917556687965003,0.2587330647324207,0.20991424118183696
