component_index,eigenvalue_index,mean_eigenvalue,std_dev_eigenvalue,n_features
1,18,6.735220404481269e-06,6.378413761701692e-06,21
1,19,2.9393228821100463e-06,4.718082356299253e-06,21
1,20,9.999999998431288e-07,3.0453988688019587e-16,21
2,0,9.3708255175104,5.791969300599266,21
2,1,3.7177384553217747,2.3775307501260476,21
2,2,1.1112702434373758,0.675395208026329,21
2,3,0.49489562995293035,0.43798806765962167,21
2,4,0.1148523239486697,0.09759216030466127,21
2,5,0.02901924827458437,0.037538651033111534,21
2,6,0.00843294195303518,0.011789771005975348,21
2,7,0.0037761064956132865,0.005727881115928604,21
2,8,0.0017324700632758345,0.0031251060377998677,21
2,9,0.001109600542630889,0.0023211260814249165,21
2,10,0.0006945567679812797,0.0015155434412318827,21
2,11,0.0003981219570164835,0.0009039547324277252,21
2,12,0.00022257344458877869,0.0004972449595561302,21
2,13,0.00015544866519443182,0.0003379984883257329,21
2,14,3.859122128265405e-05,7.853987642468361e-05,21
2,15,1.9590885160857237e-05,4.06715171990755e-05,21
2,16,1.1246807423932763e-05,2.2213412257788564e-05,21
2,17,7.669307265487163e-06,1.627633877823781e-05,21
2,18,3.7989396340570766e-06,8.847676255235741e-06,21
2,19,1.642129378576026e-06,2.798977071315996e-06,21
2,20,9.999999991607722e-07,9.90543767551826e-16,21
3,0,7.667408247711398,4.7695297877040215,21
3,1,2.3493102403579877,1.434324564920614,21
3,2,0.6040460430571516,0.47511733331601014,21
3,3,0.20893678549682346,0.21934342272190502,21
3,4,0.08828581676171834,0.07939759989713319,21
3,5,0.03657327201408534,0.04715368387186678,21
3,6,0.012673631977674463,0.017077653687863126,21
3,7,0.003999179535800706,0.006037098943605888,21
3,8,0.0022521253343929888,0.005069680936238231,21
3,9,0.0009137067107586744,0.0021689524098558953,21
3,10,0.0004757689763112702,0.0009977667509739848,21
3,11,0.00027327739964296894,0.0006721453083546004,21
3,12,0.00012893300702830133,0.00034846381218550865,21
3,13,7.449851439847793e-05,0.00019582335607062576,21
3,14,1.7967730627353017e-05,4.686360792567923e-05,21
3,15,5.9322850366362355e-06,2.1499332035473198e-05,21
3,16,2.5538142188515685e-06,6.7729191571766105e-06,21
3,17,1.92198362830179e-06,4.018833463646936e-06,21
3,18,1.0419555457511945e-06,1.8287998453823324e-07,21
3,19,9.999999997639338e-07,3.1897169465570543e-16,21
3,20,9.999999989099035e-07,1.5118904102825486e-15,21
4,0,5.133276021066532,3.9158488007883023,21
4,1,1.8628744058508513,1.2280408507821194,21
4,2,0.5679840021901736,0.37577971081062045,21
4,3,0.23811759709958244,0.2539868042908743,21
4,4,0.10084485014083386,0.10888839013320681,21
4,5,0.05520957177134642,0.06019213500229469,21
4,6,0.017889209639623732,0.014686459536665957,21
4,7,0.011410213618772357,0.009550911673051731,21
4,8,0.0064958005666868,0.005861408967684725,21
4,9,0.0031497890462417175,0.00303307365855966,21
4,10,0.0016980146725402586,0.0016400631106805068,21
4,11,0.0009279201767182662,0.0009678045507839092,21
4,12,0.0004564408406264369,0.000525131370297282,21
4,13,0.00019444567791990515,0.00026536000824347976,21
4,14,5.34223437635035e-05,8.509234333193834e-05,21
4,15,3.162354973114826e-05,5.037739809486412e-05,21
4,16,1.2781071508723258e-05,2.0272828766571804e-05,21
4,17,6.223204018966534e-06,8.309774298752874e-06,21
4,18,3.880259557223935e-06,5.428128052092411e-06,21
4,19,2.1772332564530297e-06,3.006763304601962e-06,21
4,20,9.999999995126631e-07,9.493947818624548e-16,21
5,0,4.273570294331737,2.2685509909620376,21
5,1,1.7981382609742529,1.1166099801645517,21
5,2,0.5460497104609062,0.3798559080156673,21
5,3,0.25713417623123125,0.20464331369723215,21
5,4,0.11330553314030312,0.08720579643624764,21
5,5,0.06023842223741449,0.0533882953993379,21
5,6,0.020347773299376433,0.015537280408168165,21
5,7,0.01105091939293756,0.009028249610359125,21
5,8,0.005983312667514047,0.005727160553246906,21
5,9,0.003446969951139004,0.003469192833115367,21
5,10,0.0014795139228950985,0.0017881378095869246,21
5,11,0.0008390775095411237,0.0011551836872098647,21
5,12,0.00032110846700216775,0.0005227754017551136,21
5,13,0.0001763993542742858,0.0002802351446479679,21
5,14,6.893224121573217e-05,0.00013280091456662477,21
5,15,2.4360608320340316e-05,4.7254030508986266e-05,21
5,16,1.1241239100903979e-05,2.780791788805308e-05,21
5,17,5.26640242244217e-06,9.642979826287187e-06,21
5,18,2.865860887000431e-06,5.160893772508804e-06,21
5,19,1.6448517237249154e-06,2.7739766748107684e-06,21
5,20,9.999999997326808e-07,3.6915036080585783e-16,21
