Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),GMM (Mean Risk),GMM (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Mean (Mean Risk),Mean (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev)
0.685,0.3490150542665701,0.011566115664271731,0.3707645519426081,0.01097388858028665,0.37552080487198325,0.010731004329894779,0.42211460990450617,0.013064975662482237,0.42037952200997397,0.011631608480289393,0.42778802916162334,0.011503635463327519,0.3948904647274828,0.011986636403854676,0.3985841550361382,0.012784351559809212,0.41717530729982866,0.012387784672768052,0.38101483009614934,0.012045610363136016,0.420355518675767,0.011990029468667646,0.42118434861212417,0.011467739567599717,0.4149806648466908,0.011896398788410666,0.33368419228698837,0.009765874046438071,0.3951185638563529,0.010766583848519513,0.33103108412789534,0.00960340141889217
0.69,0.3503397827711873,0.011423392778453178,0.3715357489560454,0.011083948480176816,0.37613792178394684,0.010628053873529412,0.4236277059905113,0.013018127463775847,0.42092490766633955,0.011793954452220971,0.42778936541192136,0.011598986751508817,0.39539439107974383,0.011718895842762731,0.3999753291381578,0.012544629235764609,0.4186378833138107,0.0120875425243895,0.381776399200669,0.012081438831019533,0.4212450100868025,0.011876241137976454,0.42190513884076863,0.011249243998942325,0.41593848036956577,0.011733111202620746,0.3345549734540226,0.010018301712865779,0.3954294527297655,0.010850396204105005,0.33180984171273076,0.009849702069094695
0.695,0.3515059061178492,0.011285141570483275,0.37227856253730696,0.011136535544921966,0.37672533291375915,0.010578102135325108,0.4250764370085962,0.012791080291006956,0.42166100812869495,0.011837516240013227,0.42812223737218574,0.01145870751955051,0.39591566457711697,0.011454541641285237,0.40118747801022325,0.012360346777550709,0.41979511124566254,0.011714970132574921,0.38269270247685916,0.012201920750031315,0.4219558679365012,0.011743985539975191,0.42260421162893425,0.01105865973895177,0.41678626794692675,0.01175631448320039,0.33566047443646824,0.010380598903346895,0.3958173665381023,0.010675805086694709,0.3328893423103191,0.01030401315234406
0.7,0.3526290028522453,0.011087581887516062,0.3730513855991285,0.0111320900750233,0.37744001626482876,0.010646660035755382,0.42643846168294675,0.012577296224714084,0.4225600763795675,0.011940856389458313,0.42850974466729647,0.011412310802246155,0.39654095313459486,0.011375692475283342,0.40226171767248914,0.012065241719594376,0.42086302345981175,0.011562962357580616,0.3836129627989069,0.012053410990942601,0.4226399302348247,0.01159303139687286,0.4232101209301137,0.011041217497796595,0.4177640892868656,0.01164458454289762,0.3371462628379909,0.01077286872531997,0.39623901502178915,0.010620712368909536,0.3341992960181903,0.010618838418628103
0.705,0.35387586126221987,0.01105219766517494,0.3739427065263024,0.01102612288141601,0.3781444208250793,0.010617911944035484,0.4277569019921199,0.01250458827166023,0.423320580503667,0.012151820067972139,0.42897646675798184,0.011328827085300574,0.3971661807716198,0.011265038093367563,0.40320374057574837,0.011828804515137748,0.42180630726112134,0.011470659158360099,0.38448683087909385,0.011868180216973643,0.42339031724657833,0.011319070107077035,0.4236141673509419,0.01094551785851082,0.41878798961058356,0.011658133741719864,0.33875045130831727,0.011190948064571533,0.39678812577052835,0.010559449071118894,0.33576327506906156,0.010958957632609583
0.71,0.35505787401152494,0.010824072078547266,0.37478438168774814,0.01104160181885103,0.3787672965258122,0.010415840302396017,0.42911354505795646,0.012195514064605301,0.42430883488624305,0.012336841954579809,0.4297360982549141,0.011372677200831785,0.3977121443161564,0.011267632119364868,0.403988804615182,0.011587107487448099,0.42255511425266823,0.011480632162857891,0.385419883405771,0.01177128850846538,0.4239516318428093,0.01122098218375215,0.4241991829377729,0.010904237506780866,0.41982118354600007,0.011651668863029332,0.3404956023057315,0.011378831171686248,0.3970393573983998,0.010496179122143554,0.33747287472697346,0.01135344611807473
0.715,0.35621860350736634,0.010729803405648379,0.37542333215559026,0.010874840497647083,0.37919717026081856,0.010366439330341926,0.43025234477030533,0.011915053702895272,0.42557823354749197,0.012496618203541853,0.43044592204132887,0.011391359589117422,0.3983196560956599,0.01126335075451476,0.40448399567101634,0.01143609481588701,0.4231626424701663,0.011345044590902372,0.3862679303956038,0.01166637315242016,0.42434054923299647,0.011171827124890964,0.4246970492627516,0.01082273916355689,0.42086591484415226,0.011632656812094579,0.34237935709697265,0.011477930320278253,0.39755306725440337,0.010458886507398629,0.33924806585757344,0.011522950113289684
0.72,0.35707790262877703,0.01070927266513923,0.3763239793239582,0.010825520306846942,0.37958826643397364,0.010230243893158906,0.431333721944212,0.011713988894233448,0.426983797491701,0.01251014976417991,0.4311208009342796,0.01139968535127297,0.39906588636633317,0.011197783223869898,0.4048680823189076,0.011248190340452676,0.4237890555972813,0.011251392230513909,0.38725259396651235,0.011479396793938758,0.42461003996714985,0.01099987750681486,0.42524180586513716,0.010757853111069603,0.42201707918305703,0.011433138772961229,0.34429356667153427,0.011531800436841691,0.3981301801389558,0.010581709464947147,0.3411800826970782,0.01168744704144437
0.725,0.3580469716495521,0.010648240664059052,0.37717758275625396,0.01076888103692281,0.38008490158665426,0.010157852319259052,0.4323274068596863,0.01164427567951185,0.42851487470890587,0.012537054100413175,0.4317846668799776,0.011390764774113743,0.3997454140010373,0.011132355714685254,0.4052007499836909,0.011183968562896994,0.42428085625495116,0.011079994757089548,0.3882049580134395,0.011280059897307671,0.42488665263726383,0.010932462681889663,0.42592899563288933,0.010719365188235087,0.42306294722201115,0.011229442950421737,0.34616918069347047,0.011496877087695772,0.39858565191217177,0.010405649924305403,0.34318083160659074,0.011692628863471393
0.73,0.3590236771659767,0.010587078835625895,0.3779482639389717,0.01063103849377904,0.38052450711196456,0.010095266195126313,0.43317997901807315,0.011591497151771275,0.42998849181305554,0.012431589761248881,0.43251456201239363,0.011364542187421006,0.4003453575952521,0.01105264282391643,0.4054687586935663,0.010937118695497636,0.42465673542158827,0.011011610495131517,0.3889742481402264,0.011291471920994302,0.4251169886263564,0.010936653191166252,0.4265433038317274,0.010754642700580942,0.4240137566797121,0.01107779935321762,0.3480220902554959,0.011387842858059294,0.3993315309377941,0.010370113675024488,0.3449740069424415,0.011549502927359956
