uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,is_ood,GMM-All,GMM-Int,GMM-Spa
glas_40_TILE_2,0.4793226742055087,0.40786595198375786,0.2538664143881768,0.42050838173336347,0.5928295538374112,0.7363871812458509,0.4005731215763138,0.4600549854405063,0.588980340146482,0.48198267213984614,0.6901694886333751,0.5081256900458012,0.4283942477417249,1,0.0057271495532303,0.0027676882803129,0.027711233470009
glas_40_TILE_4,0.5226524542298147,0.41098950078530677,0.2589855156473311,0.4177613974343215,0.5815988809319798,0.7266318933088628,0.40143338154564495,0.45905420352119186,0.5810369681791748,0.49551778114389977,0.6192199005938015,0.4910188253495975,0.4082705356752222,1,0.0070724336267696,0.0051137767145604,0.01813329819181
glas_40_TILE_5,0.5092018239374269,0.4364749175349022,0.2741099346866823,0.42488616325021317,0.5944907816117133,0.7408039813162185,0.4174457221246741,0.47769403049914927,0.6060326790194814,0.528610585168573,0.6636527858355609,0.5323224165927991,0.41928187566821834,1,0.0107244787484713,0.0097599780383571,0.0198599635589765
glas_40_TILE_6,0.4847106503789722,0.41246971232605384,0.24791531482990797,0.42416930061451336,0.5816679525608144,0.7328635580714666,0.3980649518271696,0.4606277645603406,0.5814682356595415,0.49388666776214946,0.6208132865674577,0.4874412347166205,0.43183447548693854,1,0.0061802172170872,0.003663690569299,0.0308381960850658
glas_16_TILE_0,0.436797464106889,0.3665323430843689,0.20650992960120862,0.37404094968441437,0.6046681460698011,0.7555553413949536,0.32891629332256317,0.38073310412419786,0.45352509506129524,0.4265902923111757,0.605923282838834,0.44529805766535113,0.3537934769069561,1,0.0049054806305599,0.0025944502620706,0.0066536399014479
glas_16_TILE_1,0.449803204931817,0.35172212819020393,0.18172083694486937,0.3671031162235777,0.5787994244152037,0.7393610726558301,0.30132350827812443,0.36024520608300925,0.42218628510315215,0.4027848043473339,0.5553282596367495,0.40844661580336405,0.33287352273794324,1,0.0023633221516155,0.0007343158747227,0.008770127810543
glas_16_TILE_3,0.474657400546022,0.37232722059186807,0.1547385048542742,0.379203633646094,0.6019539607055273,0.7400941254795546,0.28060596130692117,0.362864025378332,0.442152410897034,0.42718530854341286,0.6488418240883075,0.4640157948052962,0.3360361135632269,1,0.0057935932417439,0.0025778503162905,0.0399918404210457
glas_16_TILE_4,0.48057800623642033,0.37296278060002813,0.16657091116873274,0.3809097717326184,0.5989752652617097,0.7295013132015319,0.30125349179219785,0.37524294320414464,0.45872793165096143,0.4204693133862202,0.6218546333061462,0.4359110382309817,0.35585060720385053,1,0.0035241204684949,0.0010711583052626,0.0226548755286736
glas_53_TILE_0,0.4869246665879902,0.3308536953061084,0.25444119976256424,0.35849876949601067,0.593407744400047,0.7417487181493824,0.3497145780910426,0.3763470236792502,0.4292326502670519,0.3827275009438735,0.7070016667613841,0.42963990388761675,0.348695661181889,1,0.0067310081820945,0.0050046249467976,0.0237802031736741
glas_53_TILE_1,0.403802033474961,0.3439155462246801,0.22284458377077712,0.36251294045352006,0.5916077614987169,0.7565817475807499,0.33500868596879746,0.3724566848675903,0.4283148370437144,0.3919377377029787,0.7193698548939063,0.5530382377876031,0.37000353269399616,1,0.0056133083145815,0.0041608688751259,0.0080825798826141
glas_53_TILE_2,0.42529282921892386,0.30343341548444225,0.23635835729760662,0.34754730999721883,0.6315944500937185,0.780914361545135,0.33793570617026925,0.3595384546406145,0.3849002956491528,0.3591882441876854,0.6632174276207113,0.3931065119030482,0.3400357809273284,1,0.007807090033682,0.0060556485154989,0.0539790335160467
glas_53_TILE_4,0.4261199776469353,0.33035435670314384,0.22558070500093677,0.3612230868976509,0.5988090561802111,0.7420443403330957,0.3366985556168584,0.37199152750060027,0.4226718845123005,0.38451686178799266,0.6841146219334814,0.4570299892137074,0.34522432241871054,1,0.0033142445241559,0.0014597300364095,0.0067993859501103
glas_53_TILE_5,0.5039059110969124,0.3416800453664886,0.20730198795845212,0.3633507163741318,0.5890151859688397,0.7595896147783384,0.3215810242791993,0.3664987940279404,0.4210390185814648,0.3875098442184655,0.6672084203626015,0.3977172941496518,0.3159340341421709,1,0.0036996130961024,0.0021476470013794,0.0036124766041986
