uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,is_ood,GMM-All,GMM-Int,GMM-Spa
crag_19_TILE_11,0.35441641308358995,0.30499649709232324,0.24270160496234894,0.40375231598831596,0.5318148526278409,0.0,0.37559129982526146,0.42809385843013703,0.47994905158143797,0.4238119020205077,0.509033203125,0.44158935546875,0.37767852783203126,0,0.001970694024569,0.0007956527347836,0.035930762572208
crag_56_TILE_35,0.3918754848134933,0.32998346469707013,0.21473875641822815,0.40427284302707817,0.5221142100977199,0.0,0.3604654347544432,0.4203600920012937,0.47537763166578667,0.42550582823898947,0.47541503906250004,0.434356689453125,0.3953213500976562,0,0.0039297405701496,0.0015142898420672,0.1672292325063715
crag_11_TILE_10,0.31594730008815913,0.32154580197619254,0.2109222337603569,0.4044074331202098,0.5332440155480296,0.70947265625,0.34823150746388076,0.4126179207889396,0.47521831034823714,0.42612662881642727,0.46515625000000016,0.4283410644531249,0.383779296875,0,0.0025375782382935,0.0012963928668318,0.030957998664811
crag_11_TILE_35,0.3787266126027768,0.3417170564171564,0.10149504244327545,0.42105997252823296,0.5593029110788631,0.701171875,0.19691085803792063,0.2954595006544835,0.45496641791933395,0.43015684383977737,0.5123632812500002,0.3664587402343751,0.2815045166015625,0,0.0037262611621213,0.002403877247972,0.0463027249568705
crag_28_TILE_3,0.3869049862135506,0.3416255730242768,0.1468597948551178,0.4202073591980033,0.5657577110120625,0.7203480113636364,0.27509715010480185,0.3720756506708914,0.4897599235524212,0.43627732019115584,0.5624267578125,0.4070471191406249,0.353096923828125,0,0.0070440463584476,0.0076363392480161,0.2033825685943312
crag_28_TILE_18,0.4044659990028589,0.36997557756004956,0.19207003712654114,0.4297399796736506,0.5650866085198513,0.7119683159722222,0.3380255469726057,0.42408522752555433,0.5204843530946878,0.45117636515609144,0.59173828125,0.4360778808593749,0.3428390502929687,0,0.0038173206163903,0.004075372997232,0.1100760065966643
crag_28_TILE_26,0.4199518561030451,0.340303474386739,0.16816553473472595,0.419977562778589,0.5605213006183317,0.7328350360576923,0.3059120975205493,0.3951759291839289,0.49753415733712236,0.42595969689925617,0.567744140625,0.39105346679687486,0.3111431884765625,0,0.9999999999997768,0.9999999999997964,0.3930677743434919
crag_32_TILE_35,0.3701700208913776,0.34269482930874684,0.156453438103199,0.42169574314389274,0.564032044976208,0.7214185138081395,0.2879579962044727,0.38062660157241684,0.49490540555015994,0.4298504273748901,0.566796875,0.3931567382812499,0.29556579589843746,0,0.0027065314417213,0.0016062613078143,0.2468970637805765
crag_23_TILE_10,0.49276235753043174,0.41935989091981135,0.052626147866249084,0.41604574375980136,0.5546322777157738,0.72119140625,0.09198815844266482,0.12982251188556848,0.24490617334860815,0.45637279851844587,0.48578125,0.2551892089843749,0.1376705932617187,0,0.0020290265236111,0.0010648253333884,0.020688270678097
crag_23_TILE_33,0.4116985346204957,0.34226519236492087,0.1371806561946869,0.41624038880129893,0.5654008504588987,0.7151554188829787,0.260820967535056,0.3616205424406851,0.4769075095445221,0.44801338766664944,0.5195458984375001,0.43390869140625,0.32569580078125,0,0.0046424227628468,0.0042948927064133,0.0184903422007018
consep_4_TILE_1,0.41399098270090184,0.3524329627062002,0.10726496577262878,0.41355954515777044,0.5606626852964743,0.7235630580357143,0.21059891701122943,0.3173711684309376,0.4575653935625666,0.4518100987075071,0.47339355468750005,0.36169189453124984,0.30486480712890623,0,0.0058908367012905,0.0114584634618884,0.6463170928512579
crag_5_TILE_6,0.31950393845736813,0.2911273587904993,0.23295558989048004,0.4076065769453608,0.5433451078400504,0.0,0.36731275339576536,0.42623296578322784,0.4842164459182122,0.4286005976298152,0.519853515625,0.425040283203125,0.36889678955078126,0,0.0026285678056367,0.003662337304585,0.0895337495389205
