uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
0079_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.002401884007370991,0.5422384838263193,0.6150169769922892,0.0,0.0,0.0,0.002401884007370991,0.004803768014741982,0.008004977131156695,0.023995407002936446,0.1530478629611025,0.09356851410315568,0.02423253630447611,0.006148822065503573,0.0015372057647174344,0.0009838116894191583,0.09503671320410245,0.09503671320410245,0.0615345878844
0984_06,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.004444605237139824,0.5628489777445793,0.6112586458524069,0.0,0.0,0.0,0.004444605237139824,0.008889210474279648,0.014812939830207258,0.04440269034036704,0.3401767597175561,0.16246210222525026,0.045490981108735395,0.011378185062617601,0.002844547351769488,0.0018205103051324731,0.1568921386957188,0.1568921386957188,0.018192549131307
0732_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0013313226933277735,0.532456710934639,0.6201881408691406,0.0,0.0,0.0,0.0013313226933277735,0.0026626453866555474,0.004437020139845859,0.013300238418948349,0.19899483625259665,0.05403030074600045,0.013632675937564129,0.003408185682178147,0.0008520465237297751,0.0005453097751870564,0.09018481299142746,0.09018481299142746,0.015301164630881
0172_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0017254317190581075,0.5276216533448961,0.6381866097450256,0.0,0.0,0.0,0.0017254317190581075,0.0034508634381162154,0.005750503109244922,0.017237483710292118,0.21282724015922708,0.06918480121897236,0.01730117111508532,0.004414498586090351,0.0011042763001971891,0.0007067368321262014,0.11420082005836182,0.11420082005836182,0.0033827268627019
0739_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0022127838807276283,0.4797171473503113,0.5873554859842572,0.0,0.0,0.0,0.0022127838807276283,0.004425567761455257,0.007374745952368076,0.022106250671797948,0.280326995649375,0.09026681058119658,0.022658729921151588,0.0056647266984971665,0.0014161816836656823,0.0009063562775460369,0.15547568425500913,0.15547568425500913,0.0392236468239378
0038_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.002272493146731224,0.5229999802329324,0.5959567328294119,0.0,0.0,0.0,0.002272493146731224,0.004544986293462448,0.007573744449968342,0.02270276075034985,0.15428903713279093,0.09150337363882115,0.023260499169651366,0.0058175291046117066,0.001454395613907984,0.0009308131929011096,0.09140694751715078,0.09140694751715078,0.0034986884291459
0461_02,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0014782481709717248,0.519954539835453,0.6316234230995178,0.0,0.0,0.0,0.0014782481709717248,0.00295649634194345,0.004926692032791037,0.014768059772844613,0.22968358403215042,0.058540907162933024,0.014779823118007011,0.0037842889258077887,0.0009460788294219041,0.0006054904508300187,0.11579130492703547,0.11579130492703547,0.0227905989702666
0441_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.001951660371622953,0.5319539070129394,0.6388258536656698,0.0,0.0,0.0,0.001951660371622953,0.0039033207432459054,0.006504475900868685,0.019497563123578653,0.22590159869619778,0.07805800896073964,0.019603041882464197,0.004990023601496951,0.0012490626378386899,0.0007994000882167618,0.12260448866034075,0.12260448866034075,0.0180518958960921
0287_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0014840203928429673,0.552032687834331,0.587588886419932,0.0,0.0,0.0,0.0014840203928429673,0.0029680407856859346,0.004945929641240679,0.014825725680643014,0.2715015937150879,0.05934772660482291,0.01519616648702455,0.0037990916777001383,0.0009497730514194994,0.0006078547529084797,0.1612560383722439,0.1612560383722439,0.006092922087694
0230_05,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.003457638419646027,0.5794847868382931,0.6291383504867554,0.0,0.0,0.0,0.003457638419646027,0.006915276839292054,0.011523585815191317,0.03454265113828297,0.2705056646731324,0.13617515039495312,0.03469295035307417,0.008851539986546527,0.0022128885885734574,0.0014162486966870134,0.09790156230866469,0.09790156230866469,0.0250971631522622
0117_03,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0040500516172347015,0.5379721593289148,0.6478416323661804,0.0,0.0,0.0,0.0040500516172347015,0.008100103234469403,0.013497975121394088,0.04046100342451231,0.16735861320613007,0.10716519080809489,0.04145310557151558,0.010367668932099028,0.0025920330350302097,0.0016589011424193345,0.07754532769687815,0.07754532769687815,0.0355754843223612
0524_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0034555073493998927,0.5906418495708041,0.6394740130220141,0.0,0.0,0.0,0.0034555073493998927,0.0069110146987997854,0.011516483403695656,0.034521361223602665,0.20478172569562667,0.13432825661164507,0.03534117203116863,0.00884603005160778,0.0022115247036159314,0.0014153758103141966,0.09872900781145626,0.09872900781145626,0.0116106347165758
0230_00,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0019045655349621778,0.5756748508323323,0.6487667049680438,0.0,0.0,0.0,0.0019045655349621778,0.0038091310699243557,0.006347518658425614,0.019027074222267237,0.2964404021891264,0.0764153961475676,0.019145954224391682,0.004875661933695054,0.001218921942375794,0.0007801100431205084,0.1538357120974967,0.1538357120974967,0.002790361360569
0056_05,joint_noise_lidc_fgbg_malignancy_dropout_pu_0_00,0.0019644325012610994,0.5198061913251877,0.6276201605796814,0.0,0.0,0.0,0.0019644325012610994,0.003928865002522199,0.006547042738133004,0.019625159808841067,0.31722219914197924,0.07749962311036486,0.019401906107716135,0.005028910605676494,0.0012572368008071037,0.0008046315525165465,0.16658267473434624,0.16658267473434624,0.0299101951299933
