uq_map_name,is_ood,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
219,1,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255,0.39019607843137255
220,1,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3292035398230089
221,0,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993,0.6484268125854993
221,1,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994,0.38758231420507994
222,1,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299,0.4719626168224299
223,1,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843,0.47861965491372843
224,1,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397,0.45396825396825397
226,1,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014,0.313373253493014
227,1,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054,0.43207126948775054
228,0,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853,0.5658536585365853
